driver,team,lap_time,lap_time_seconds,compound,tyre_life,sector_1,sector_2,sector_3
NOR,McLaren,0 days 00:01:15.227000,75.227,SOFT,2.0,0 days 00:00:27.606000,0 days 00:00:26.382000,0 days 00:00:21.239000
PIA,McLaren,0 days 00:01:15.249000,75.249,SOFT,2.0,0 days 00:00:27.553000,0 days 00:00:26.472000,0 days 00:00:21.224000
VER,Red Bull Racing,0 days 00:01:15.273000,75.273,SOFT,2.0,0 days 00:00:27.461000,0 days 00:00:26.524000,0 days 00:00:21.288000
SAI,Ferrari,0 days 00:01:15.696000,75.696,SOFT,2.0,0 days 00:00:27.465000,0 days 00:00:26.871000,0 days 00:00:21.360000
HAM,Mercedes,0 days 00:01:15.854000,75.854,SOFT,2.0,0 days 00:00:27.572000,0 days 00:00:26.809000,0 days 00:00:21.473000
LEC,Ferrari,0 days 00:01:15.891000,75.891,SOFT,2.0,0 days 00:00:27.649000,0 days 00:00:26.742000,0 days 00:00:21.500000
ALO,Aston Martin,0 days 00:01:16.043000,76.043,SOFT,3.0,0 days 00:00:27.629000,0 days 00:00:26.933000,0 days 00:00:21.481000
STR,Aston Martin,0 days 00:01:16.075000,76.075,SOFT,2.0,0 days 00:00:27.598000,0 days 00:00:27.077000,0 days 00:00:21.400000
TSU,RB,0 days 00:01:16.121000,76.121,SOFT,2.0,0 days 00:00:27.784000,0 days 00:00:26.950000,0 days 00:00:21.387000
RIC,RB,0 days 00:01:16.202000,76.202,SOFT,2.0,0 days 00:00:27.714000,0 days 00:00:26.877000,0 days 00:00:21.611000
HUL,Haas F1 Team,0 days 00:01:16.317000,76.317,SOFT,4.0,0 days 00:00:27.588000,0 days 00:00:27.092000,0 days 00:00:21.637000
BOT,Kick Sauber,0 days 00:01:16.384000,76.384,SOFT,2.0,0 days 00:00:27.708000,0 days 00:00:27.176000,0 days 00:00:21.500000
ALB,Williams,0 days 00:01:16.429000,76.429,SOFT,2.0,0 days 00:00:27.791000,0 days 00:00:27.077000,0 days 00:00:21.561000
SAR,Williams,0 days 00:01:16.543000,76.543,SOFT,2.0,0 days 00:00:27.857000,0 days 00:00:27.055000,0 days 00:00:21.631000
MAG,Haas F1 Team,0 days 00:01:16.548000,76.548,SOFT,3.0,0 days 00:00:27.663000,0 days 00:00:27.292000,0 days 00:00:21.593000
PER,Red Bull Racing,0 days 00:01:17.886000,77.886,SOFT,2.0,0 days 00:00:28.356000,0 days 00:00:27.665000,0 days 00:00:21.865000
RUS,Mercedes,0 days 00:01:17.968000,77.968,SOFT,3.0,0 days 00:00:28.628000,0 days 00:00:27.659000,0 days 00:00:21.681000
ZHO,Kick Sauber,0 days 00:01:18.037000,78.037,SOFT,5.0,0 days 00:00:28.502000,0 days 00:00:27.538000,0 days 00:00:21.997000
OCO,Alpine,0 days 00:01:18.049000,78.049,SOFT,2.0,0 days 00:00:28.484000,0 days 00:00:27.536000,0 days 00:00:22.029000
GAS,Alpine,0 days 00:01:18.166000,78.166,SOFT,2.0,0 days 00:00:28.551000,0 days 00:00:27.766000,0 days 00:00:21.849000
